1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
7035.00,7154.00,7308.00,7461.00,7608.00,7778.00,7945.00,8105.00,8260.00,8422.00,8592.00,8778.00,8983.00,9204.00,9443.00,9659.00,9832.00,9982.00,10138.00,10326.00,10519.00,10766.00,11076.00,11406.00,11756.00,12064.00,12421.00,12878.00,13324.00,13784.00,14260.00,14761.00,15297.00,15823.00,16326.00,16810.00,17246.00,17620.00,17964.00,18291.00,18601.00
6777.00,6899.00,7019.00,7172.00,7323.00,7483.00,7685.00,7872.00,8038.00,8199.00,8364.00,8538.00,8731.00,8940.00,9165.00,9367.00,9542.00,9714.00,9863.00,10015.00,10199.00,10434.00,10723.00,11032.00,11359.00,11693.00,11985.00,12340.00,12796.00,13244.00,13706.00,14210.00,14739.00,15269.00,15789.00,16297.00,16757.00,17153.00,17513.00,17844.00,18151.00
6516.00,6644.00,6766.00,6884.00,7035.00,7199.00,7392.00,7614.00,7805.00,7976.00,8141.00,8311.00,8492.00,8688.00,8901.00,9088.00,9249.00,9422.00,9594.00,9741.00,9889.00,10112.00,10388.00,10676.00,10984.00,11296.00,11614.00,11904.00,12258.00,12715.00,13164.00,13650.00,14180.00,14704.00,15228.00,15751.00,16233.00,16653.00,17035.00,17383.00,17697.00
6255.00,6387.00,6514.00,6634.00,6750.00,6913.00,7110.00,7323.00,7548.00,7745.00,7919.00,8089.00,8265.00,8448.00,8647.00,8822.00,8968.00,9129.00,9303.00,9472.00,9616.00,9803.00,10065.00,10341.00,10628.00,10921.00,11219.00,11534.00,11822.00,12177.00,12634.00,13105.00,13615.00,14138.00,14654.00,15180.00,15677.00,16118.00,16525.00,16896.00,17226.00
5993.00,6127.00,6257.00,6382.00,6501.00,6630.00,6826.00,7042.00,7258.00,7488.00,7688.00,7867.00,8041.00,8219.00,8406.00,8568.00,8702.00,8848.00,9009.00,9181.00,9347.00,9528.00,9752.00,10014.00,10290.00,10564.00,10842.00,11137.00,11450.00,11739.00,12095.00,12572.00,13064.00,13566.00,14079.00,14597.00,15096.00,15551.00,15981.00,16376.00,16729.00
5735.00,5867.00,5999.00,6127.00,6250.00,6381.00,6543.00,6758.00,6977.00,7198.00,7430.00,7633.00,7817.00,7994.00,8175.00,8324.00,8445.00,8580.00,8727.00,8887.00,9057.00,9258.00,9475.00,9700.00,9963.00,10225.00,10484.00,10759.00,11051.00,11365.00,11655.00,12028.00,12523.00,13007.00,13499.00,14014.00,14504.00,14962.00,15404.00,15821.00,16198.00
5488.00,5611.00,5739.00,5869.00,5994.00,6129.00,6293.00,6475.00,6692.00,6915.00,7137.00,7373.00,7580.00,7765.00,7944.00,8087.00,8198.00,8320.00,8457.00,8604.00,8762.00,8965.00,9202.00,9420.00,9647.00,9897.00,10144.00,10399.00,10671.00,10964.00,11278.00,11584.00,11973.00,12459.00,12932.00,13425.00,13913.00,14361.00,14805.00,15235.00,15633.00
5256.00,5363.00,5483.00,5609.00,5735.00,5873.00,6041.00,6223.00,6408.00,6629.00,6853.00,7077.00,7316.00,7524.00,7710.00,7852.00,7958.00,8071.00,8196.00,8333.00,8478.00,8669.00,8905.00,9143.00,9364.00,9578.00,9812.00,10056.00,10309.00,10582.00,10876.00,11203.00,11523.00,11902.00,12376.00,12850.00,13316.00,13761.00,14196.00,14626.00,15035.00
5043.00,5129.00,5233.00,5350.00,5473.00,5610.00,5780.00,5966.00,6152.00,6339.00,6561.00,6787.00,7014.00,7253.00,7461.00,7612.00,7719.00,7827.00,7942.00,8067.00,8203.00,8380.00,8604.00,8844.00,9086.00,9293.00,9490.00,9720.00,9962.00,10217.00,10491.00,10796.00,11133.00,11443.00,11811.00,12287.00,12733.00,13156.00,13587.00,14007.00,14417.00
4848.00,4912.00,4996.00,5098.00,5211.00,5345.00,5514.00,5702.00,5890.00,6078.00,6267.00,6490.00,6718.00,6946.00,7183.00,7357.00,7475.00,7584.00,7694.00,7809.00,7934.00,8101.00,8310.00,8538.00,8782.00,9010.00,9198.00,9393.00,9622.00,9865.00,10120.00,10404.00,10716.00,11044.00,11343.00,11714.00,12161.00,12565.00,12974.00,13390.00,13790.00
4672.00,4714.00,4776.00,4858.00,4955.00,5080.00,5245.00,5432.00,5622.00,5813.00,6001.00,6190.00,6416.00,6643.00,6869.00,7074.00,7216.00,7334.00,7444.00,7556.00,7670.00,7825.00,8025.00,8239.00,8473.00,8701.00,8909.00,9096.00,9290.00,9521.00,9765.00,10028.00,10317.00,10620.00,10937.00,11239.00,11582.00,11987.00,12377.00,12771.00,13167.00
4511.00,4532.00,4571.00,4631.00,4709.00,4818.00,4974.00,5157.00,5346.00,5537.00,5727.00,5917.00,6110.00,6333.00,6559.00,6754.00,6927.00,7069.00,7189.00,7300.00,7410.00,7555.00,7743.00,7949.00,8171.00,8387.00,8594.00,8800.00,8986.00,9182.00,9414.00,9663.00,9930.00,10211.00,10504.00,10824.00,11100.00,11402.00,11793.00,12169.00,12542.00
4358.00,4365.00,4384.00,4422.00,4479.00,4568.00,4708.00,4881.00,5065.00,5255.00,5446.00,5638.00,5830.00,6020.00,6243.00,6439.00,6603.00,6776.00,6919.00,7038.00,7147.00,7289.00,7469.00,7665.00,7878.00,8081.00,8274.00,8479.00,8684.00,8872.00,9069.00,9306.00,9559.00,9818.00,10091.00,10388.00,10681.00,10916.00,11205.00,11580.00,11935.00
4205.00,4204.00,4209.00,4227.00,4262.00,4331.00,4452.00,4610.00,4784.00,4970.00,5159.00,5351.00,5545.00,5735.00,5925.00,6118.00,6285.00,6448.00,6620.00,6761.00,6878.00,7020.00,7198.00,7386.00,7590.00,7783.00,7960.00,8151.00,8354.00,8560.00,8751.00,8952.00,9192.00,9440.00,9693.00,9969.00,10237.00,10489.00,10713.00,10988.00,11342.00
4047.00,4045.00,4043.00,4047.00,4064.00,4112.00,4212.00,4351.00,4510.00,4685.00,4870.00,5060.00,5253.00,5445.00,5634.00,5796.00,5961.00,6127.00,6289.00,6459.00,6597.00,6747.00,6926.00,7111.00,7306.00,7487.00,7653.00,7829.00,8019.00,8224.00,8432.00,8627.00,8833.00,9070.00,9313.00,9568.00,9813.00,10040.00,10281.00,10492.00,10747.00
