"","year","edad","SxH","SxM"
"444",2008,4,0.990812670681251,0.991420925749701
"445",2009,5,0.993711303868427,0.994481137602882
"446",2010,6,0.995093303322125,0.996123724573555
"447",2011,7,0.996096163659875,0.997205818665745
"448",2012,8,0.996895833759847,0.997815189764099
"449",2013,9,0.997423019679266,0.99822121063965
"450",2014,10,0.997773703853392,0.998499187148661
"451",2015,11,0.998001358135444,0.998690451717864
"452",2016,12,0.998136556524396,0.99881891942276
"453",2017,13,0.998197380207194,0.998898364443212
"454",2018,14,0.998195008129766,0.9989367269137
"455",2019,15,0.998137057552066,0.998938871801844
"456",2020,16,0.998030203212421,0.998908563561533
"457",2021,17,0.997880574145387,0.998849330490717
"458",2022,18,0.997693993825944,0.998764369094346
"459",2023,19,0.997477134495612,0.998656825753271
"460",2024,20,0.997236019995872,0.998529984837616
"461",2025,21,0.996976472812639,0.998386745366366
"462",2026,22,0.99670404548308,0.998230507398445
"463",2027,23,0.996423310748727,0.998064494638413
"464",2028,24,0.996138852547407,0.99789253435604
"465",2029,25,0.995854213867876,0.997717757730491
"466",2030,26,0.995572441133953,0.997542993151344
"467",2031,27,0.995295709705835,0.99737178875428
"468",2032,28,0.995025868673859,0.997206501997793
"469",2033,29,0.994764144073682,0.99704843720923
"470",2034,30,0.994510996553447,0.996898608387547
"471",2035,31,0.994267060615436,0.996757116393712
"472",2036,32,0.994031366560814,0.996623324529057
"473",2037,33,0.993803207922947,0.99649593308687
"474",2038,34,0.993581461551187,0.996372992024371
"475",2039,35,0.993363957468668,0.996252061025713
"476",2040,36,0.9931483844141,0.996130958893661
"477",2041,37,0.992932507064838,0.996007184753388
"478",2042,38,0.992713722590812,0.995877923137707
"479",2043,39,0.992488606117783,0.995740521018894
"480",2044,40,0.992253828251033,0.995592750186428
"481",2045,41,0.992006293902026,0.995432622860499
"482",2046,42,0.991742803857586,0.995257197334759
"483",2047,43,0.991459564175105,0.995064428906697
"484",2048,44,0.991152903693218,0.994852416051481
"485",2049,45,0.990819557580488,0.994617873113068
"486",2050,46,0.990456391041074,0.994359791285023
"487",1970,47,0.990060314543266,0.994075642361318
"488",1971,48,0.989626959952332,0.993760702823279
"489",1972,49,0.989153141161238,0.993414181648126
"490",1973,50,0.988636098766249,0.993034618239623
"491",1974,51,0.988071801064955,0.992616944802505
"492",1975,52,0.987457501614777,0.992158477808567
"493",1976,53,0.986789087765124,0.991656877217312
"494",1977,54,0.986062313876655,0.991107929557475
"495",1978,55,0.985273078443099,0.990507884716706
"496",1979,56,0.984418475502425,0.989853076100799
"497",1980,57,0.983493307059263,0.98913931523888
"498",1981,58,0.982492406490758,0.988360952374821
"499",1982,59,0.981412429577818,0.987513639065691
"500",1983,60,0.980248168253808,0.986592793831998
"501",1984,61,0.978993568539813,0.98559125842329
"502",1985,62,0.977641757432205,0.984503258356767
"503",1986,63,0.97618876960105,0.983323441690508
"504",1987,64,0.974628102635552,0.982042741620064
"505",1988,65,0.972951984918663,0.980654619368234
"506",1989,66,0.971154379355727,0.979152053238005
"507",1990,67,0.969227555270756,0.977525277479289
"508",1991,68,0.967162232616868,0.975764515620728
"509",1992,69,0.96495132646544,0.973860808168142
"510",1993,70,0.962587068828263,0.971803766241579
"511",1994,71,0.960058051769649,0.969582291242105
"512",1995,72,0.95735467959531,0.96718539724918
"513",1996,73,0.954469182621188,0.964598955689599
"514",1997,74,0.951388996337439,0.96180811095801
"515",1998,75,0.948101859527202,0.958800119824843
"516",1999,76,0.944597341516058,0.955561833108826
"517",2000,77,0.94086173803147,0.952076763772346
"518",2001,78,0.93687883381265,0.948330726793055
"519",2002,79,0.932624783095313,0.944316512184049
"520",2003,80,0.928084986318779,0.94001866243573
"521",2004,81,0.923256477998057,0.935411357101798
"522",2005,82,0.918125350778649,0.930478540273006
"523",2006,83,0.912673165984978,0.925204898922802
"524",2007,84,0.906883643827006,0.919560700066833
"525",2008,85,0.900742137268809,0.913526540822774
"526",2009,86,0.894160300741029,0.907027610250781
"527",2010,87,0.887024281800916,0.899958111284099
"528",2011,88,0.87928511657889,0.892266144120166
"529",2012,89,0.870889765527922,0.883895458275656
"530",2013,90,0.861780889033715,0.874785238673239
"531",2014,91,0.85189665789111,0.864869913089466
"532",2015,92,0.841170607326982,0.854079015142019
"533",2016,93,0.829531525315062,0.842337106546145
"534",2017,94,0.816903426462981,0.829563780258951
"535",2018,95,0.803205617628254,0.815673778950471
"536",2019,96,0.788352874405619,0.800577249160299
"537",2020,97,0.772255776960637,0.784180167405386
"538",2021,98,0.754821223454122,0.766384970234639
"539",2022,99,0.735953161947832,0.747091442544678
"540",2023,100,0.715553589872764,0.726197887336123
"541",2024,101,0.693523851168587,0.703602629111921
"542",2025,102,0.669766267359751,0.679205890448597
"543",2026,103,0.644186158408264,0.652912067019578
"544",2027,104,0.616694261493189,0.624632422350312
"545",2028,105,0.587209562896706,0.594288205893818
"546",2029,106,0.555662540689514,0.561814174275763
"547",2030,107,0.521998784940405,0.527162447301737
"548",2031,108,0.486182917586755,0.490306624542124
"549",2032,109,0.448202720686794,0.451246008018157
"550",2033,110,0.656207029605919,0.660562249277264
"551",2034,1,0.926822044915774,0.938288089757311
"552",2035,2,0.957036321358349,0.960565996450475
"553",2036,3,0.985446723903966,0.98565304337283
"554",2037,4,0.991916211473298,0.992447240537413
"555",2038,5,0.994440469214352,0.995111342547152
"556",2039,6,0.99564901733814,0.996545531874043
"557",2040,7,0.996525138770538,0.997492583318992
"558",2041,8,0.997213728122924,0.998026657052163
"559",2042,9,0.997668075316853,0.998383380328497
"560",2043,10,0.997969748799606,0.998627508701272
"561",2044,11,0.998163712346144,0.99879466836026
"562",2045,12,0.998275390318018,0.998905537967699
"563",2046,13,0.9983196366877,0.998972128669752
"564",2047,14,0.998305671877666,0.999001523416314
"565",2048,15,0.998239933066137,0.998998168548178
"566",2049,16,0.998128316867359,0.998965534014659
"567",2050,17,0.997976453239825,0.998906920375407
"568",1970,18,0.997789870902681,0.998825331018831
"569",1971,19,0.997574948739515,0.998723758207878
"570",1972,20,0.997337565201985,0.998605344353557
"571",1973,21,0.997083439933984,0.99847281595824
"572",1974,22,0.996818007682173,0.998329288368605
"573",1975,23,0.9965457630318,0.998177652654959
"574",1976,24,0.99627114062359,0.998021254523522
"575",1977,25,0.995997535426178,0.997862700009787
"576",1978,26,0.995727809487403,0.997704254604515
"577",1979,27,0.99546393571789,0.997548823536139
"578",1980,28,0.995207507702855,0.997398180404491
"579",1981,29,0.994959495226992,0.997253228226888
