a¤o,edad,valor
2045,9,0.12431137
2045,10,0.119934225
2045,11,0.112634611
2045,12,0.103448735
2045,13,0.093278351
2045,14,0.082837402
2045,15,0.072645609
2045,16,0.063048985
2045,17,0.054252124
2045,18,0.046352519
2045,19,0.039371637
2045,20,0.033280491
2045,21,0.028019333
2045,22,0.023512016
2045,23,0.019675945
2045,24,0.016428627
2045,25,0.013691698
2045,26,0.011393168
2045,27,0.009468456
2045,28,0.007860631
2045,29,0.006520165
2045,30,0.00540441
2045,31,0.004476934
2045,32,0.003706812
2045,33,0.003067925
2045,34,0.002538306
2045,35,0.002099536
2045,36,0.001736216
2046,1,0.04235614
2046,2,0.038732658
2046,3,0.057569506
2046,4,0.07731743
2046,5,0.095473496
2046,6,0.109971427
2046,7,0.119583731
2046,8,0.123986405
2046,9,0.123583592
2046,10,0.119232073
2046,11,0.111975195
2046,12,0.102843097
2046,13,0.092732255
2046,14,0.082352433
2046,15,0.072220308
2046,16,0.062679867
2046,17,0.053934506
2046,18,0.04608115
2046,19,0.039141137
2046,20,0.033085651
2046,21,0.027855295
2046,22,0.023374365
2046,23,0.019560753
2046,24,0.016332446
2046,25,0.01361154
2046,26,0.011326467
2046,27,0.009413023
2046,28,0.007814611
2046,29,0.006481993
2046,30,0.00537277
2046,31,0.004450724
2046,32,0.00368511
2046,33,0.003049964
2046,34,0.002523446
2046,35,0.002087245
2046,36,0.001726052
2047,1,0.042113695
2047,2,0.038510953
2047,3,0.05723998
2047,4,0.076874867
2047,5,0.094927008
2047,6,0.109341952
2047,7,0.118899236
2047,8,0.123276709
2047,9,0.122876202
2047,10,0.118549591
2047,11,0.111334251
2047,12,0.102254425
2047,13,0.092201458
2047,14,0.081881049
2047,15,0.07180692
2047,16,0.062321088
2047,17,0.053625786
2047,18,0.045817382
2047,19,0.038917094
2047,20,0.032896269
2047,21,0.027695851
2047,22,0.023240571
2047,23,0.019448787
2047,24,0.01623896
2047,25,0.013533628
2047,26,0.011261635
2047,27,0.009359143
2047,28,0.00776988
2047,29,0.00644489
2047,30,0.005342016
2047,31,0.004425248
2047,32,0.003664017
2047,33,0.003032506
2047,34,0.002509002
2047,35,0.002075297
2047,36,0.001716172
2048,1,0.041878005
2048,2,0.038295426
2048,3,0.056919636
2048,4,0.076444636
2048,5,0.094395748
2048,6,0.108730019
2048,7,0.118233816
2048,8,0.12258679
2048,9,0.122188524
2048,10,0.117886127
2048,11,0.110711168
2048,12,0.101682158
2048,13,0.091685451
2048,14,0.081422801
2048,15,0.071405052
2048,16,0.061972308
2048,17,0.053325669
2048,18,0.045560965
2048,19,0.038699294
2048,20,0.032712165
2048,21,0.027540851
2048,22,0.023110505
2048,23,0.019339942
2048,24,0.016148078
2048,25,0.013457887
2048,26,0.011198609
2048,27,0.009306765
2048,28,0.007726396
2048,29,0.006408821
2048,30,0.00531212
2048,31,0.004400482
2048,32,0.003643511
2048,33,0.003015535
2048,34,0.00249496
2048,35,0.002063683
2048,36,0.001706567
2049,1,0.041648849
2049,2,0.038085873
2049,3,0.056608172
2049,4,0.076026331
2049,5,0.093879215
2049,6,0.108135049
2049,7,0.117586841
2049,8,0.121915995
2049,9,0.121519909
2049,10,0.117241054
2049,11,0.110105357
2049,12,0.101125753
2049,13,0.091183749
2049,14,0.080977256
2049,15,0.071014324
2049,16,0.061633196
2049,17,0.053033871
2049,18,0.045311655
2049,19,0.038487532
2049,20,0.032533164
2049,21,0.027390148
2049,22,0.022984044
2049,23,0.019234114
2049,24,0.016059716
2049,25,0.013384246
2049,26,0.01113733
2049,27,0.009255838
2049,28,0.007684117
2049,29,0.006373752
2049,30,0.005283052
2049,31,0.004376403
2049,32,0.003623574
2049,33,0.002999034
2049,34,0.002481308
2049,35,0.002052391
2049,36,0.001697229
2050,1,0.041426011
2050,2,0.037882099
2050,3,0.056305296
2050,4,0.075619561
2050,5,0.093376925
2050,6,0.107556484
2050,7,0.116957706
2050,8,0.121263698
2050,9,0.12086973
2050,10,0.11661377
2050,11,0.109516251
2050,12,0.100584691
2050,13,0.090695881
2050,14,0.080543996
2050,15,0.07063437
2050,16,0.061303434
2050,17,0.052750119
2050,18,0.04506922
2050,19,0.038281609
2050,20,0.032359099
2050,21,0.0272436
2050,22,0.02286107
2050,23,0.019131204
2050,24,0.01597379
2050,25,0.013312635
2050,26,0.011077741
2050,27,0.009206316
2050,28,0.007643004
2050,29,0.00633965
2050,30,0.005254785
2050,31,0.004352987
2050,32,0.003604186
2050,33,0.002982988
2050,34,0.002468032
2050,35,0.002041409
2050,36,0.001688148
